Country;Code;ContinentCode;Year;Month;GDP billion currency units;Money supply billion currency units;Unemployment rate percent;Stock market index
USA;USA;NA;1970;1;;592;3.9;5
USA;USA;NA;1970;2;;583.4;4.2;4.83
USA;USA;NA;1970;3;263.38;587.3;4.4;4.9
USA;USA;NA;1970;4;;592.9;4.6;4.71
USA;USA;NA;1970;5;;590.8;4.8;4.12
USA;USA;NA;1970;6;267.53;597.5;4.9;4.09
USA;USA;NA;1970;7;;601.2;5;4.07
USA;USA;NA;1970;8;;603;5.1;4.19
USA;USA;NA;1970;9;272.13;608.7;5.4;4.47
USA;USA;NA;1970;10;;614;5.5;4.56
USA;USA;NA;1970;11;;618.2;5.9;4.54
USA;USA;NA;1970;12;272.88;627.8;6.1;4.85
USA;USA;NA;1971;1;;635.5;5.9;5.08
USA;USA;NA;1971;2;;638;5.9;5.29
USA;USA;NA;1971;3;284.45;650;6;5.44
USA;USA;NA;1971;4;;663.5;5.9;5.63
USA;USA;NA;1971;5;;666.1;5.9;5.55
USA;USA;NA;1971;6;289.85;675.9;5.9;5.45
USA;USA;NA;1971;7;;682.3;6;5.43
USA;USA;NA;1971;8;;683.7;6.1;5.32
USA;USA;NA;1971;9;295.08;689.7;6;5.44
USA;USA;NA;1971;10;;695.6;5.8;5.32
USA;USA;NA;1971;11;;701.2;6;5.07
USA;USA;NA;1971;12;298.4;711.2;6;5.42
USA;USA;NA;1972;1;;720;5.8;5.66
USA;USA;NA;1972;2;;722.2;5.7;5.79
USA;USA;NA;1972;3;308.45;733.7;5.8;5.94
USA;USA;NA;1972;4;;743.8;5.7;6.01
USA;USA;NA;1972;5;;742.6;5.7;5.92
USA;USA;NA;1972;6;317.53;753.2;5.7;5.93
USA;USA;NA;1972;7;;763;5.6;5.86
USA;USA;NA;1972;8;;767;5.6;6.05
USA;USA;NA;1972;9;323.45;775.2;5.5;5.95
USA;USA;NA;1972;10;;783.6;5.6;5.94
USA;USA;NA;1972;11;;790.2;5.3;6.24
USA;USA;NA;1972;12;333;803.1;5.2;6.36
USA;USA;NA;1973;1;;812.3;4.9;6.38
USA;USA;NA;1973;2;;810.1;5;6.09
USA;USA;NA;1973;3;345.18;815.6;4.9;5.96
USA;USA;NA;1973;4;;825.4;5;5.81
USA;USA;NA;1973;5;;825.8;4.9;5.62
USA;USA;NA;1973;6;354.4;837.2;4.9;5.46
USA;USA;NA;1973;7;;840.7;4.8;5.56
USA;USA;NA;1973;8;;837.4;4.8;5.48
USA;USA;NA;1973;9;359.2;836;4.8;5.62
USA;USA;NA;1973;10;;839.3;4.6;5.87
USA;USA;NA;1973;11;;845.3;4.8;5.41
USA;USA;NA;1973;12;369.78;856.5;4.9;4.99
USA;USA;NA;1974;1;;861.5;5.1;5.09
USA;USA;NA;1974;2;;859.8;5.2;4.95
USA;USA;NA;1974;3;373.68;869.9;5.1;5.16
USA;USA;NA;1974;4;;878.6;5.1;4.87
USA;USA;NA;1974;5;;873.4;5.1;4.69
USA;USA;NA;1974;6;383.55;881.9;5.4;4.67
USA;USA;NA;1974;7;;886;5.5;4.28
USA;USA;NA;1974;8;;882.9;5.5;3.95
USA;USA;NA;1974;9;390.85;884.7;5.9;3.53
USA;USA;NA;1974;10;;890.4;6;3.63
USA;USA;NA;1974;11;;895.4;6.6;3.76
USA;USA;NA;1974;12;400.75;903.5;7.2;3.51
