Country,Code,ContinentCode,Year,Month,GDP billion currency units,Consumer Price Index (CPI)
Australia,AUS,OC,1996,1,,
Australia,AUS,OC,1996,2,,
Australia,AUS,OC,1996,3,128.02,66.2
Australia,AUS,OC,1996,4,,
Australia,AUS,OC,1996,5,,
Australia,AUS,OC,1996,6,133.65,66.7
Australia,AUS,OC,1996,7,,
Australia,AUS,OC,1996,8,,
Australia,AUS,OC,1996,9,135.15,66.9
Australia,AUS,OC,1996,10,,
Australia,AUS,OC,1996,11,,
Australia,AUS,OC,1996,12,145.94,67
Australia,AUS,OC,1997,1,,
Australia,AUS,OC,1997,2,,
Australia,AUS,OC,1997,3,133.57,67.1
Australia,AUS,OC,1997,4,,
Australia,AUS,OC,1997,5,,
Australia,AUS,OC,1997,6,141.59,66.9
Australia,AUS,OC,1997,7,,
Australia,AUS,OC,1997,8,,
Australia,AUS,OC,1997,9,143.27,66.6
Australia,AUS,OC,1997,10,,
Australia,AUS,OC,1997,11,,
Australia,AUS,OC,1997,12,154.64,66.8
Australia,AUS,OC,1998,1,,
Australia,AUS,OC,1998,2,,
Australia,AUS,OC,1998,3,142.38,67
Australia,AUS,OC,1998,4,,
Australia,AUS,OC,1998,5,,
Australia,AUS,OC,1998,6,148.55,67.4
Australia,AUS,OC,1998,7,,
Australia,AUS,OC,1998,8,,
Australia,AUS,OC,1998,9,151.42,67.5
Australia,AUS,OC,1998,10,,
Australia,AUS,OC,1998,11,,
Australia,AUS,OC,1998,12,162.32,67.8
Australia,AUS,OC,1999,1,,
Australia,AUS,OC,1999,2,,
Australia,AUS,OC,1999,3,150.98,67.8
Australia,AUS,OC,1999,4,,
Australia,AUS,OC,1999,5,,
Australia,AUS,OC,1999,6,156.21,68.1
Australia,AUS,OC,1999,7,,
Australia,AUS,OC,1999,8,,
Australia,AUS,OC,1999,9,159.63,68.7
Australia,AUS,OC,1999,10,,
Australia,AUS,OC,1999,11,,
Australia,AUS,OC,1999,12,170.52,69.1
Australia,AUS,OC,2000,1,,
Australia,AUS,OC,2000,2,,
Australia,AUS,OC,2000,3,162.85,69.7
Australia,AUS,OC,2000,4,,
Australia,AUS,OC,2000,5,,
Australia,AUS,OC,2000,6,168.72,70.2
Australia,AUS,OC,2000,7,,
Australia,AUS,OC,2000,8,,
Australia,AUS,OC,2000,9,173.63,72.9
Australia,AUS,OC,2000,10,,
Australia,AUS,OC,2000,11,,
Australia,AUS,OC,2000,12,181.45,73.1
Australia,AUS,OC,2001,1,,
Australia,AUS,OC,2001,2,,
Australia,AUS,OC,2001,3,172.96,73.9
Australia,AUS,OC,2001,4,,
Australia,AUS,OC,2001,5,,
Australia,AUS,OC,2001,6,178.34,74.5
Australia,AUS,OC,2001,7,,
Australia,AUS,OC,2001,8,,
Australia,AUS,OC,2001,9,182.8,74.7
Australia,AUS,OC,2001,10,,
Australia,AUS,OC,2001,11,,
Australia,AUS,OC,2001,12,195.84,75.4
Australia,AUS,OC,2002,1,,
Australia,AUS,OC,2002,2,,
Australia,AUS,OC,2002,3,184.44,76.1
Australia,AUS,OC,2002,4,,
Australia,AUS,OC,2002,5,,
Australia,AUS,OC,2002,6,192.51,76.6
Australia,AUS,OC,2002,7,,
Australia,AUS,OC,2002,8,,
Australia,AUS,OC,2002,9,196.4,77.1
Australia,AUS,OC,2002,10,,
Australia,AUS,OC,2002,11,,
Australia,AUS,OC,2002,12,208.91,77.6
Australia,AUS,OC,2003,1,,
Australia,AUS,OC,2003,2,,
Australia,AUS,OC,2003,3,194.9,78.6
Australia,AUS,OC,2003,4,,
Australia,AUS,OC,2003,5,,
Australia,AUS,OC,2003,6,202.3,78.6
Australia,AUS,OC,2003,7,,
Australia,AUS,OC,2003,8,,
Australia,AUS,OC,2003,9,207.83,79.1
Australia,AUS,OC,2003,10,,
Australia,AUS,OC,2003,11,,
Australia,AUS,OC,2003,12,225.1,79.5
Australia,AUS,OC,2004,1,,
Australia,AUS,OC,2004,2,,
Australia,AUS,OC,2004,3,210.53,80.2
Australia,AUS,OC,2004,4,,
Australia,AUS,OC,2004,5,,
Australia,AUS,OC,2004,6,219.95,80.6
Australia,AUS,OC,2004,7,,
Australia,AUS,OC,2004,8,,
Australia,AUS,OC,2004,9,224.35,80.9
Australia,AUS,OC,2004,10,,
Australia,AUS,OC,2004,11,,
Australia,AUS,OC,2004,12,239.62,81.5
Australia,AUS,OC,2005,1,,
Australia,AUS,OC,2005,2,,
Australia,AUS,OC,2005,3,224.2,82.1
Australia,AUS,OC,2005,4,,
Australia,AUS,OC,2005,5,,
Australia,AUS,OC,2005,6,236.42,82.6
Australia,AUS,OC,2005,7,,
Australia,AUS,OC,2005,8,,
Australia,AUS,OC,2005,9,242.93,83.4
Australia,AUS,OC,2005,10,,
Australia,AUS,OC,2005,11,,
Australia,AUS,OC,2005,12,260.39,83.8
Australia,AUS,OC,2006,1,,
Australia,AUS,OC,2006,2,,
Australia,AUS,OC,2006,3,241.58,84.5
Australia,AUS,OC,2006,4,,
Australia,AUS,OC,2006,5,,
Australia,AUS,OC,2006,6,253.54,85.9
Australia,AUS,OC,2006,7,,
Australia,AUS,OC,2006,8,,
Australia,AUS,OC,2006,9,262.73,86.7
Australia,AUS,OC,2006,10,,
Australia,AUS,OC,2006,11,,
Australia,AUS,OC,2006,12,281.19,86.6
Australia,AUS,OC,2007,1,,
Australia,AUS,OC,2007,2,,
Australia,AUS,OC,2007,3,264.64,86.6
Australia,AUS,OC,2007,4,,
Australia,AUS,OC,2007,5,,
Australia,AUS,OC,2007,6,279.13,87.7
Australia,AUS,OC,2007,7,,
Australia,AUS,OC,2007,8,,
Australia,AUS,OC,2007,9,284.52,88.3
Australia,AUS,OC,2007,10,,
Australia,AUS,OC,2007,11,,
Australia,AUS,OC,2007,12,304.43,89.1
Australia,AUS,OC,2008,1,,
Australia,AUS,OC,2008,2,,
Australia,AUS,OC,2008,3,284.81,90.3
Australia,AUS,OC,2008,4,,
Australia,AUS,OC,2008,5,,
Australia,AUS,OC,2008,6,304.83,91.6
Australia,AUS,OC,2008,7,,
Australia,AUS,OC,2008,8,,
Australia,AUS,OC,2008,9,315.49,92.7
Australia,AUS,OC,2008,10,,
Australia,AUS,OC,2008,11,,
Australia,AUS,OC,2008,12,330.61,92.4
Australia,AUS,OC,2009,1,,
Australia,AUS,OC,2009,2,,
Australia,AUS,OC,2009,3,302.61,92.5
Australia,AUS,OC,2009,4,,
Australia,AUS,OC,2009,5,,
Australia,AUS,OC,2009,6,311.76,92.9
Australia,AUS,OC,2009,7,,
Australia,AUS,OC,2009,8,,
Australia,AUS,OC,2009,9,313.65,93.8
Australia,AUS,OC,2009,10,,
Australia,AUS,OC,2009,11,,
